,t,o,h,l,c,v,pot,pot_ask,pot_bid
0,2024-02-15,17400,17450,17150,17300,1199810,1,1,1
1,2024-02-16,17400,17550,17150,17300,1306613,1,1,1
2,2024-02-19,17350,17350,16900,17200,1716835,1,1,1
3,2024-02-20,17300,17750,17300,17500,2708617,1,1,1
4,2024-02-21,17500,17500,17200,17400,878476,1,1,1
5,2024-02-22,17400,17500,17100,17150,1137260,1,1,1
6,2024-02-23,17250,17300,16149,16550,2620174,1,1,1
7,2024-02-26,16600,17300,16500,17300,2081147,1,1,1
8,2024-02-27,17350,17650,17150,17400,1598658,1,1,1
9,2024-02-28,17500,17500,17100,17300,1121093,1,1,1
10,2024-02-29,17400,17800,17300,17450,2740656,1,1,1
11,2024-03-01,17650,18500,17500,18100,3490695,1,1,1
12,2024-03-04,18250,18450,17800,18100,1855453,1,1,1
13,2024-03-05,18100,18800,17700,18800,3115430,1,1,1
14,2024-03-06,19000,19400,18600,19100,3844314,1,1,1
15,2024-03-07,19400,20400,19400,20400,4335493,1,1,1
16,2024-03-08,21000,21350,20500,21000,5478863,1,1,1
17,2024-03-11,20800,21600,20500,21200,3088526,1,1,1
18,2024-03-12,21200,21250,20500,20900,2898076,1,1,1
19,2024-03-13,21000,21900,20700,21800,3897868,1,1,1
20,2024-03-14,22000,22000,21100,21350,3849549,1,1,1
21,2024-03-15,21350,21500,20700,21500,3016910,1,1,1
22,2024-03-18,21600,21650,20000,20150,6766885,1,1,1
23,2024-03-19,20200,20500,19900,20250,2085887,1,1,1
24,2024-03-20,20300,20900,20100,20750,1936446,1,1,1
25,2024-03-21,21350,21500,20550,20800,2967946,1,1,1
26,2024-03-22,20900,21500,20750,21100,3697260,1,1,1
27,2024-03-25,21100,21350,20650,20750,1952077,1,1,1
28,2024-03-26,20550,21150,20400,21100,1245585,1,1,1
29,2024-03-27,21400,21400,21050,21200,1411477,1,1,1
30,2024-03-28,21500,22650,21450,22650,5942894,1,1,1
31,2024-03-29,22650,22750,22150,22300,2389889,1,1,1
32,2024-04-01,22300,22500,21700,22150,1968083,1,1,1
33,2024-04-02,22000,22300,21750,22300,1879680,1,1,1
34,2024-04-03,22700,23000,21700,21800,3392278,1,1,1
35,2024-04-04,21800,21800,21000,21300,2605917,1,1,1
36,2024-04-05,20800,20900,20500,20500,3103559,1,1,1
37,2024-04-08,20250,20750,20100,20250,2280954,1,1,1
38,2024-04-09,20350,21050,20300,21050,1801842,1,1,1
39,2024-04-10,21100,21100,20600,20700,1264565,1,1,1
40,2024-04-11,20200,21000,20200,20950,1435238,1,1,1
41,2024-04-12,21200,21700,20850,21650,2278589,1,1,1
42,2024-04-15,21700,22450,20150,20150,5477730,1,1,1
43,2024-04-16,20150,20500,18850,20500,4297873,1,1,1
44,2024-04-17,20700,20900,19650,19650,2932285,1,1,1
45,2024-04-19,18650,19350,18300,18300,6263895,1,1,1
46,2024-04-22,18800,19350,18200,19000,2913697,1,1,1
47,2024-04-23,19100,19100,17700,17700,3430936,1,1,1
48,2024-04-25,18500,18550,18000,18200,1979933,1,1,1
49,2024-04-26,17900,18450,17900,18000,1709572,1,1,1
50,2024-05-02,18050,18100,17250,17550,2162261,1,1,1
51,2024-05-03,17800,18100,17750,17800,1408734,1,1,1
52,2024-05-06,18250,19000,17950,18650,2468234,1,1,1
53,2024-05-07,18650,18800,18350,18550,1688663,1,1,1
54,2024-05-08,18350,19100,18250,18850,2646633,1,1,1
55,2024-05-09,19100,19200,18600,18650,1199473,1,1,1
56,2024-05-10,18850,19000,18450,18900,1485091,1,1,1
57,2024-05-13,18900,19300,18600,19100,2077765,1,1,1
58,2024-05-14,19150,19250,18900,19050,960665,1,1,1
59,2024-05-15,19150,20100,18950,19650,3148188,1,1,1
60,2024-05-16,20000,20100,19600,19700,1648045,1,1,1
61,2024-05-17,19700,20300,19400,20100,2315066,1,1,1
62,2024-05-20,20600,20600,20100,20100,1450995,1,1,1
63,2024-05-21,20100,20200,19750,20200,2308436,1,1,1
64,2024-05-22,20250,20950,20000,20450,3021132,1,1,1
65,2024-05-23,20300,20600,19950,20550,1892131,1,1,1
66,2024-05-24,20450,20450,19200,19650,3617257,1,1,1
67,2024-05-27,19700,19750,19400,19500,1216417,1,1,1
68,2024-05-28,19700,20450,19600,20250,1825745,1,1,1
69,2024-05-29,20300,21100,20100,20650,4324229,1,1,1
70,2024-05-30,20300,21800,20300,21800,5171790,1,1,1
71,2024-05-31,22000,22400,21200,21300,2255680,1,1,1
72,2024-06-03,21900,21900,21300,21550,1654832,1,1,1
73,2024-06-04,21800,22100,21450,21500,2220812,1,1,1
74,2024-06-05,21850,22200,21400,21550,2460907,1,1,1
75,2024-06-06,21600,21950,21100,21400,1725689,1,1,1
76,2024-06-07,21550,21800,21300,21800,1317454,1,1,1
77,2024-06-10,22100,22650,21950,22300,2983835,1,1,1
78,2024-06-11,22400,22950,22300,22950,4098140,1,1,1
79,2024-06-12,22950,23250,21800,22850,1965927,1,1,1
80,2024-06-13,22900,23100,22500,22500,1932299,1,1,1
81,2024-06-14,22500,22950,20950,20950,2972465,1,1,1
82,2024-06-17,20950,21400,20900,21200,2357458,1,1,1
83,2024-06-18,21450,21450,20900,20900,1609104,1,1,1
84,2024-06-19,21000,21250,19950,21200,2282286,1,1,1
85,2024-06-20,21200,21300,20550,20850,1240764,1,1,1
86,2024-06-21,20850,20900,20500,20550,1486950,1,1,1
87,2024-06-24,20450,20450,19150,19200,4600714,1,1,1
88,2024-06-25,19200,19500,19200,19450,997121,1,1,1
89,2024-06-26,19500,19700,18950,19400,1235541,1,1,1
90,2024-06-27,19400,19400,19000,19150,828634,1,1,1
91,2024-06-28,19100,19250,18000,18500,2611838,1,1,1
92,2024-07-01,18250,19100,18250,19100,865621,1,1,1
93,2024-07-02,19300,19450,19100,19300,870096,1,1,1
94,2024-07-03,19400,19500,19150,19250,629450,1,1,1
95,2024-07-04,19450,19550,19000,19100,964563,1,1,1
96,2024-07-05,19150,19200,18700,19100,1311618,1,1,1
97,2024-07-08,19300,19400,19050,19300,1008092,1,1,1
98,2024-07-09,19300,19900,19300,19800,1932655,1,1,1
99,2024-07-10,19900,19900,19550,19550,1082431,1,1,1
100,2024-07-11,19600,19950,19550,19700,1260975,1,1,1
101,2024-07-12,19600,19800,19500,19600,874012,1,1,1
102,2024-07-15,19600,19850,19450,19600,552618,1,1,1
103,2024-07-16,19750,19850,19600,19650,1346566,1,1,1
104,2024-07-17,19750,19800,18600,18950,1685429,1,1,1
105,2024-07-18,19150,19150,18500,19000,1303240,1,1,1
106,2024-07-19,18900,19200,18350,18400,1144805,1,1,1
107,2024-07-22,18250,18300,17350,17500,2634999,1,1,1
108,2024-07-23,17550,17850,17200,17300,892293,1,1,1
109,2024-07-24,16900,17700,16600,17600,1442945,1,1,1
110,2024-07-25,17250,17600,17250,17500,460481,1,1,1
111,2024-07-26,17650,17650,17450,17600,430000,1,1,1
112,2024-07-29,17700,17850,17550,17700,420900,1,1,1
113,2024-07-30,17600,17650,17300,17400,549300,1,1,1
114,2024-07-31,17600,17700,17300,17300,514300,1,1,1
115,2024-08-01,17500,17500,16100,16200,3058400,1,1,1
116,2024-08-02,16250,17100,16100,17000,1176700,1,1,1
117,2024-08-05,16300,17150,16200,16300,1173900,1,1,1
118,2024-08-06,16550,17000,16300,16900,1242300,1,1,1
119,2024-08-07,17000,17050,16600,16800,517100,1,1,1
120,2024-08-08,16550,17000,16350,16600,735000,1,1,1
121,2024-08-09,16650,17550,16650,17350,2188200,1,1,1
122,2024-08-12,17350,17500,17200,17400,577000,1,1,1
