,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,17.4,17.45,17.15,17.3,1199810,1,1,1
2024-02-16,17.4,17.55,17.15,17.3,1306613,1,1,1
2024-02-19,17.35,17.35,16.9,17.2,1716835,1,1,1
2024-02-20,17.3,17.75,17.3,17.5,2708617,1,1,1
2024-02-21,17.5,17.5,17.2,17.4,878476,1,1,1
2024-02-22,17.4,17.5,17.1,17.15,1137260,1,1,1
2024-02-23,17.25,17.3,16.15,16.55,2620174,1,1,1
2024-02-26,16.6,17.3,16.5,17.3,2081147,1,1,1
2024-02-27,17.35,17.65,17.15,17.4,1598658,1,1,1
2024-02-28,17.5,17.5,17.1,17.3,1121093,1,1,1
2024-02-29,17.4,17.8,17.3,17.45,2740656,1,1,1
2024-03-01,17.65,18.5,17.5,18.1,3490695,1,1,1
2024-03-04,18.25,18.45,17.8,18.1,1855453,1,1,1
2024-03-05,18.1,18.8,17.7,18.8,3115430,1,1,1
2024-03-06,19.0,19.4,18.6,19.1,3844314,1,1,1
2024-03-07,19.4,20.4,19.4,20.4,4335493,1,1,1
2024-03-08,21.0,21.35,20.5,21.0,5478863,1,1,1
2024-03-11,20.8,21.6,20.5,21.2,3088526,1,1,1
2024-03-12,21.2,21.25,20.5,20.9,2898076,1,1,1
2024-03-13,21.0,21.9,20.7,21.8,3897868,1,1,1
2024-03-14,22.0,22.0,21.1,21.35,3849549,1,1,1
2024-03-15,21.35,21.5,20.7,21.5,3016910,1,1,1
2024-03-18,21.6,21.65,20.0,20.15,6766885,1,1,1
2024-03-19,20.2,20.5,19.9,20.25,2085887,1,1,1
2024-03-20,20.3,20.9,20.1,20.75,1936446,1,1,1
2024-03-21,21.35,21.5,20.55,20.8,2967946,1,1,1
2024-03-22,20.9,21.5,20.75,21.1,3697260,1,1,1
2024-03-25,21.1,21.35,20.65,20.75,1952077,1,1,1
2024-03-26,20.55,21.15,20.4,21.1,1245585,1,1,1
2024-03-27,21.4,21.4,21.05,21.2,1411477,1,1,1
2024-03-28,21.5,22.65,21.45,22.65,5942894,1,1,1
2024-03-29,22.65,22.75,22.15,22.3,2389889,1,1,1
2024-04-01,22.3,22.5,21.7,22.15,1968083,1,1,1
2024-04-02,22.0,22.3,21.75,22.3,1879680,1,1,1
2024-04-03,22.7,23.0,21.7,21.8,3392278,1,1,1
2024-04-04,21.8,21.8,21.0,21.3,2605917,1,1,1
2024-04-05,20.8,20.9,20.5,20.5,3103559,1,1,1
2024-04-08,20.25,20.75,20.1,20.25,2280954,1,1,1
2024-04-09,20.35,21.05,20.3,21.05,1801842,1,1,1
2024-04-10,21.1,21.1,20.6,20.7,1264565,1,1,1
2024-04-11,20.2,21.0,20.2,20.95,1435238,1,1,1
2024-04-12,21.2,21.7,20.85,21.65,2278589,1,1,1
2024-04-15,21.7,22.45,20.15,20.15,5477730,1,1,1
2024-04-16,20.15,20.5,18.85,20.5,4297873,1,1,1
2024-04-17,20.7,20.9,19.65,19.65,2932285,1,1,1
2024-04-19,18.65,19.35,18.3,18.3,6263895,1,1,1
2024-04-22,18.8,19.35,18.2,19.0,2913697,1,1,1
2024-04-23,19.1,19.1,17.7,17.7,3430936,1,1,1
2024-04-25,18.5,18.55,18.0,18.2,1979933,1,1,1
2024-04-26,17.9,18.45,17.9,18.0,1709572,1,1,1
2024-05-02,18.05,18.1,17.25,17.55,2162261,1,1,1
2024-05-03,17.8,18.1,17.75,17.8,1408734,1,1,1
2024-05-06,18.25,19.0,17.95,18.65,2468234,1,1,1
2024-05-07,18.65,18.8,18.35,18.55,1688663,1,1,1
2024-05-08,18.35,19.1,18.25,18.85,2646633,1,1,1
2024-05-09,19.1,19.2,18.6,18.65,1199473,1,1,1
2024-05-10,18.85,19.0,18.45,18.9,1485091,1,1,1
2024-05-13,18.9,19.3,18.6,19.1,2077765,1,1,1
2024-05-14,19.15,19.25,18.9,19.05,960665,1,1,1
2024-05-15,19.15,20.1,18.95,19.65,3148188,1,1,1
2024-05-16,20.0,20.1,19.6,19.7,1648045,1,1,1
2024-05-17,19.7,20.3,19.4,20.1,2315066,1,1,1
2024-05-20,20.6,20.6,20.1,20.1,1450995,1,1,1
2024-05-21,20.1,20.2,19.75,20.2,2308436,1,1,1
2024-05-22,20.25,20.95,20.0,20.45,3021132,1,1,1
2024-05-23,20.3,20.6,19.95,20.55,1892131,1,1,1
2024-05-24,20.45,20.45,19.2,19.65,3617257,1,1,1
2024-05-27,19.7,19.75,19.4,19.5,1216417,1,1,1
2024-05-28,19.7,20.45,19.6,20.25,1825745,1,1,1
2024-05-29,20.3,21.1,20.1,20.65,4324229,1,1,1
2024-05-30,20.3,21.8,20.3,21.8,5171790,1,1,1
2024-05-31,22.0,22.4,21.2,21.3,2255680,1,1,1
2024-06-03,21.9,21.9,21.3,21.55,1654832,1,1,1
2024-06-04,21.8,22.1,21.45,21.5,2220812,1,1,1
2024-06-05,21.85,22.2,21.4,21.55,2460907,1,1,1
2024-06-06,21.6,21.95,21.1,21.4,1725689,1,1,1
2024-06-07,21.55,21.8,21.3,21.8,1317454,1,1,1
2024-06-10,22.1,22.65,21.95,22.3,2983835,1,1,1
2024-06-11,22.4,22.95,22.3,22.95,4098140,1,1,1
2024-06-12,22.95,23.25,21.8,22.85,1965927,1,1,1
2024-06-13,22.9,23.1,22.5,22.5,1932299,1,1,1
2024-06-14,22.5,22.95,20.95,20.95,2972465,1,1,1
2024-06-17,20.95,21.4,20.9,21.2,2357458,1,1,1
2024-06-18,21.45,21.45,20.9,20.9,1609104,1,1,1
2024-06-19,21.0,21.25,19.95,21.2,2282286,1,1,1
2024-06-20,21.2,21.3,20.55,20.85,1240764,1,1,1
2024-06-21,20.85,20.9,20.5,20.55,1486950,1,1,1
2024-06-24,20.45,20.45,19.15,19.2,4600714,1,1,1
2024-06-25,19.2,19.5,19.2,19.45,997121,1,1,1
2024-06-26,19.5,19.7,18.95,19.4,1235541,1,1,1
2024-06-27,19.4,19.4,19.0,19.15,828634,1,1,1
2024-06-28,19.1,19.25,18.0,18.5,2611838,1,1,1
2024-07-01,18.25,19.1,18.25,19.1,865621,1,1,1
2024-07-02,19.3,19.45,19.1,19.3,870096,1,1,1
2024-07-03,19.4,19.5,19.15,19.25,629450,1,1,1
2024-07-04,19.45,19.55,19.0,19.1,964563,1,1,1
2024-07-05,19.15,19.2,18.7,19.1,1311618,1,1,1
2024-07-08,19.3,19.4,19.05,19.3,1008092,1,1,1
2024-07-09,19.3,19.9,19.3,19.8,1932655,1,1,1
2024-07-10,19.9,19.9,19.55,19.55,1082431,1,1,1
2024-07-11,19.6,19.95,19.55,19.7,1260975,1,1,1
2024-07-12,19.6,19.8,19.5,19.6,874012,1,1,1
2024-07-15,19.6,19.85,19.45,19.6,552618,1,1,1
2024-07-16,19.75,19.85,19.6,19.65,1346566,1,1,1
2024-07-17,19.75,19.8,18.6,18.95,1685429,1,1,1
2024-07-18,19.15,19.15,18.5,19.0,1303240,1,1,1
2024-07-19,18.9,19.2,18.35,18.4,1144805,1,1,1
2024-07-22,18.25,18.3,17.35,17.5,2634999,1,1,1
2024-07-23,17.55,17.85,17.2,17.3,892293,1,1,1
2024-07-24,16.9,17.7,16.6,17.6,1442945,1,1,1
2024-07-25,17.25,17.6,17.25,17.5,460481,1,1,1
2024-07-26,17.65,17.65,17.45,17.6,430000,1,1,1
2024-07-29,17.7,17.85,17.55,17.7,420900,1,1,1
2024-07-30,17.6,17.65,17.3,17.4,549300,1,1,1
2024-07-31,17.6,17.7,17.3,17.3,514300,1,1,1
2024-08-01,17.5,17.5,16.1,16.2,3058400,1,1,1
2024-08-02,16.25,17.1,16.1,17.0,1176700,1,1,1
2024-08-05,16.3,17.15,16.2,16.3,1173900,1,1,1
2024-08-06,16.55,17.0,16.3,16.9,1242300,1,1,1
2024-08-07,17.0,17.05,16.6,16.8,517100,1,1,1
2024-08-08,16.55,17.0,16.35,16.6,735000,1,1,1
